Equation,Answer
41 - -49 / 37,42.324324
41 & 47 / 25,10.904255
-31 + -44 * 17,-779
-39 % 29 % -1,0
4 * 37 * -25,-3700
27 & 14 & -11,-0.043831
-31 / 3 & -25,0.206667
48 / -3 % 2,0
14 / 35 - 45,-44.600000
35 + 41 + -19,57
44 + 13 & -43,-0.662791
41 + 14 * 12,209
25 - 37 * 39,-1418
2 - -19 & -31,-0.338710
24 * 18 / 49,8.816327
-7 - -12 / 1,5
-19 * -18 - 21,321
-10 * 6 * 17,-1020
11 & 12 % -48,-0.152778
-2 & 43 + -11,-0.031250
42 + 8 * -36,-246
45 / -32 / -9,0.156250
-38 * -25 % -11,-7
3 * -4 % 45,33
43 * -48 & 43,-24
-47 & 16 & 16,-0.045898
28 - 14 + -45,-31
-19 - -16 - -7,4
41 + 14 + -23,32
-30 & 42 + -19,-0.652174
-38 % 45 + -31,-24
22 * -26 / 7,-81.714286
-25 - 16 / -21,-24.238095
-47 / -23 & -14,-0.072981
-12 + -13 & 5,-2.500000
-10 % 24 * -12,-168
7 % -7 % 42,0
41 / 39 & 0,inf
-8 / 2 + -11,-15
36 + -31 - -35,40
21 & 28 + -28,inf
9 - 11 * 44,-475
-20 / 42 * -30,14.285714
17 - -36 + -21,32
18 / 33 / -8,-0.068182
41 / 44 / 40,0.023295
-3 * 27 + -10,-91
39 % -10 % -39,-1
49 - 19 + -11,19
-9 % -39 % 18,9
-25 * 5 / -17,7.352941
-1 + -36 - 18,-55
8 / -6 - -33,31.666667
36 * -14 * -6,3024
26 - -12 % 45,-7
1 / -19 % 34,33.947368
-20 - 6 - 31,-57
-42 / 9 & -5,0.466667
-44 % 23 % 28,2
13 & 18 % -22,-1.625000
-16 % 49 + -8,25
-14 & 9 % 47,-0.777778
-47 + 49 % -21,-61
-24 + -12 % -34,-36
46 + 9 + -32,23
27 / -4 % 31,24.250000
-12 % 15 / 11,0.272727
42 % 30 * -31,-372
48 * 40 & -24,-40
-42 & -15 + 17,-10.500000
45 & 1 + -19,-1.250000
24 % 25 * -13,-312
0 & -2 & -6,0
-30 + 38 & -35,-0.114286
35 - -21 * -45,-910
36 * -16 % 18,0
10 / -12 % 7,6.166667
-37 / -38 - -42,42.973684
40 % -26 * -38,456
-1 - -16 + -15,0
1 + 24 - -25,50
16 * 15 * 16,3840
15 * -42 & -9,35
2 & -33 * -16,0.001894
-39 & 11 + -35,0.812500
16 * 45 & 30,12
14 % -16 & 28,-0.035714
16 + -22 & -4,0.750000
34 & -48 & -14,0.012649
4 + -21 - 43,-60
35 % 27 * -5,-40
-41 - 20 + 2,-59
8 - -29 & -22,-0.840909
43 % -8 & 32,-0.078125
-46 % -6 / -43,0.093023
26 + -10 + -25,-9
-33 / -42 * -14,-11
-36 % -11 + -36,-39
-44 - 17 % -5,-41
4 % -6 + 1,-1
3 / 31 % 1,0.096774
22 % -22 & 3,0
32 / 28 * -24,-27.428571
7 % 16 % 38,7
-42 / -49 + -32,-31.142857
-6 / 11 / -19,0.028708
12 - -45 - 23,34
11 * -29 * 11,-3509
17 - -31 % -40,48
21 * -38 * -5,3990
-28 / 10 + -31,-33.800000
-23 % 37 + 21,35
5 * -38 % -34,-20
-38 / -32 % 14,1.187500
37 + -12 / -21,37.571429
-3 / -29 / 22,0.004702
30 & 13 - -10,0.652174
-31 % 42 & -12,-0.458333
8 + -43 % 11,9
-39 & 7 & 10,-0.139286
-9 & 0 / -29,inf
49 + -44 & 36,0.069444
-45 + -19 & 6,-5.333333
32 + 4 * -4,16
-28 % -4 * -49,0
-12 % -43 % -25,-12
20 + -21 & 4,-0.125000
-35 % 31 * -23,-621
40 + 18 + 22,80
-2 / 26 - 41,-41.076923
8 - 11 - -45,42
32 / -32 % 31,30
36 / 23 + 24,25.565217
-24 * -45 + -21,1059
19 * -31 - 32,-621
20 * -25 & -19,13.157895
-9 * -49 & -5,-44.100000
-13 % 41 & -44,-0.318182
-15 / -8 & 1,0.937500
-43 % 24 - 6,-1
-14 + -19 & 16,-1.031250
31 * 15 & 18,12.916667
-39 & 42 & 26,-0.008929
27 - 26 * 9,-207
19 + -1 + -7,11
18 & 41 + 40,0.111111
21 * 32 * 37,24864
-30 - 48 + -43,-121
0 & 44 * -39,0
3 & 38 / -20,-0.789474
-13 & -3 + -16,0.342105
-44 - 10 * -35,306
11 / 41 * 34,9.121951
-34 % 0 % -39,nan
-40 & -47 - 30,0.259740
-23 - 36 * 17,-635
33 / -43 * -42,32.232558
49 - 30 * -28,889
47 % -49 % 19,17
1 & -48 - -4,-0.011364
23 * -6 + -43,-181
31 + -37 / -4,40.250000
-13 / -46 * 38,10.739130
26 - -37 + 10,73
45 + 34 + -43,36
48 * -44 & 47,-22.468085
-13 % 22 & 28,0.160714
-28 * -16 + -2,446
-45 % 17 + 7,13
-20 % -35 & -20,0.500000
37 / -34 - -30,28.911765
-22 / 47 & 8,-0.029255
-10 & 31 & -1,0.080645
22 & -35 & -39,0.004029
46 * -12 & -19,14.526316
-47 - 44 % 32,-59
23 + -42 % 42,23
-13 - 7 + -42,-62
-23 / -28 * 19,15.607143
40 / -23 / 11,-0.158103
-35 + 27 & 19,-0.210526
-28 - -39 - -24,35
-19 / 3 - 45,-51.333333
-15 & 2 / 44,-165
4 / -36 / -18,0.006173
46 & -44 % 18,2.300000
14 * 43 / -42,-14.333333
43 / 15 / -47,-0.060993
18 % -30 + 6,-6
0 * -34 & -37,0
18 & 46 / 2,0.391304
-28 & -14 - -5,1.555556
40 / -25 - -3,1.400000
-44 * 37 + 5,-1623
-29 - 11 / 7,-30.571429
39 + -6 % 46,79
-28 * -23 & -4,-80.500000
44 - -24 + -24,44
37 * 13 - 24,457
29 - 6 / 25,28.760000
5 + -45 / 12,1.250000
24 - -29 & -35,-0.757143
-19 % 17 - 32,-17
35 % 10 & -29,-0.086207
27 & 21 & 32,0.010045
30 % 21 * -13,-117
6 / 49 * -17,-2.081633
28 + -38 & -25,0.200000
45 + 37 % 18,46
-34 + 32 / -49,-34.653061
14 & 11 - -2,0.538462
36 * 29 * -16,-16704
2 & 15 / 26,1.733333
41 / -15 & -37,0.036937
11 + -27 % -44,-16
-37 + 0 % -13,-37
-43 * 0 + 23,23
18 + -41 * -26,1084
-17 / -34 * 22,11
-43 + 39 / 46,-42.152174
30 + -16 - -14,28
-3 & 38 + 48,-0.017442
-38 * 45 & -40,21.375000
-2 % -4 % 16,14
32 + 8 - -4,44
5 - -5 + 3,13
46 * 32 - -41,1513
-39 + 22 / 38,-38.421053
-28 & 6 % -40,0.411765
24 & 46 & -5,-0.026087
-1 / 48 / 14,-0.001488
21 % -30 - -6,-3
-39 % 41 % -30,-28
-20 * -34 & -47,-7.234043
-28 % 3 + -26,-24
-45 & 9 % 0,nan
19 / -17 + 47,45.882353
-30 & -13 % -18,1.153846
11 % 24 - 21,-10
-30 / 26 * -39,45.000000
-4 / -19 + -6,-5.789474
-9 % 43 - -29,63
10 - -40 % -4,10
-23 % 34 % 45,11
-31 % 34 % 39,3
-36 / 37 - -9,8.027027
-47 - 15 + -46,-108
10 - -39 + 34,83
31 + 36 * 17,643
44 * -38 - 23,-1695
-42 - -21 & -3,3.500000
-40 - 3 & -22,0.977273
-23 - -35 * 7,222
-7 * 39 % -49,-28
-32 % 6 * -42,-168
-29 * 17 % 28,11
48 % -39 * -15,450
0 / -42 / -14,0
-9 + 34 & 28,0.446429
-49 / -49 % -5,-4
0 % 29 & 15,0
4 * 46 * -10,-1840
21 + -14 & -29,-0.120690
28 - 6 + 14,36
15 * 33 & 10,24.750000
4 & -38 / 30,-1.578947
3 + 16 % 30,19
-37 / -12 & -16,-0.096354
48 + -6 * -6,84
41 & 21 + 43,0.320312
-21 % 36 - -44,59
13 + 39 % -42,10
-33 & -29 % 3,-16.500000
-20 + -24 + 24,-20
2 - 3 & 49,-0.010204
0 % 17 % 29,0
-25 & -40 % 4,-inf
38 + -27 + -25,-14
-8 * -10 % -45,-10
-10 * -14 % -28,0
14 / 28 & -20,-0.012500
13 * 42 - 6,540
-45 / -7 + 44,50.428571
-1 & 12 & 45,-0.000463
34 - 40 & 44,-0.068182
46 / -5 / -21,0.438095
0 + 38 - 2,36
23 % 16 % 23,7
-48 - -9 / -26,-48.346154
36 / -24 * -46,69
-22 + -25 * -1,3
16 + 28 - -19,63
16 - 42 % -45,19
0 * 31 + 4,4
13 % 7 * -7,-42
22 + -38 & 26,-0.307692
-46 * -31 / 43,33.162791
-36 * -29 * -39,-40716
-13 * -15 * 18,3510
-14 * -33 * 35,16170
-29 % 25 - 2,19
10 - -22 & -33,-0.484848
28 * 6 + 20,188
41 - -22 / -40,40.450000
-38 * 43 - -42,-1592
0 / -35 & 25,0
11 * 10 / 19,5.789474
48 / 21 + 3,5.285714
-15 + 10 * -24,-255
-2 / -26 - -28,28.076923
-32 & 38 * -45,0.009357
-26 / 27 - -34,33.037037
-28 & 24 + 34,-0.241379
-7 + 36 - 7,22
-7 % -21 % 47,40
48 - 7 * 25,-127
9 * 10 % 44,2
21 - -19 + -31,9
7 % 0 / 43,nan
-28 * -6 % -15,-12
33 % -29 * 31,-775
-30 + -10 % -11,-40
-21 + 49 % -37,-46
2 - 21 * 22,-460
20 % 5 - 17,-17
35 / -25 * -15,21
-19 + -31 - 27,-77
-2 & 33 / -18,0.545455
-49 + -21 & 47,-0.744681
38 & 14 + 39,0.358491
45 - -36 - -30,111
15 * 28 * 18,7560
39 & -17 / 11,-12.617647
30 % -46 * -12,192
-25 / -22 & -8,-0.071023
-23 / -13 % 36,1.769231
9 & -9 + 36,0.166667
-2 % -29 + -18,-20
-6 * 27 - 49,-211
23 % -19 - -44,29
-25 + 21 / -43,-25.488372
46 - 20 % -7,47
-46 & 4 / -31,178.250000
-39 % -13 * 47,0
36 % -5 * 5,-20
11 % -25 & -46,0.152174
10 % 8 * 41,82
-32 % 47 % -22,-7
-47 * 28 * 10,-13160
40 & -10 % 29,1.052632
5 * -33 + -16,-181
-16 + -9 & -12,1.041667
-38 % 22 % 11,6
0 * -30 % -34,0
28 / 45 - 15,-14.377778
39 / -46 % 48,47.152174
-38 * 37 % 2,0
10 / -6 / 9,-0.185185
-27 * 34 & 38,-12.078947
25 * 43 + 41,1116
36 / 11 & -31,-0.052786
14 - -48 & 24,1.291667
-21 & 11 * -49,0.019481
24 % 12 - 35,-35
-43 * 21 / 9,-100.333333
-26 + -6 / 39,-26.153846
26 & 18 / -11,-7.944444
-30 % -1 % -6,0
19 * -49 % -42,-7
-13 / 19 & -1,0.342105
35 % 7 % 19,0
-24 * -49 - 24,1152
28 % 3 - -19,20
48 & -38 - -40,12
0 - -24 * -31,-744
-37 / 44 % -40,-0.840909
48 - -21 % -34,69
6 + -22 - -3,-13
46 * -40 * 1,-1840
-42 + 12 * 13,114
-32 / -20 / -39,-0.041026
-10 * 16 & 2,-40
-42 - -30 + 45,33
21 - -26 + -47,0
7 & -12 & -34,0.004289
45 / -46 * -43,42.065217
38 + 5 + -13,30
-8 / 41 + 15,14.804878
-35 / 4 % 40,31.250000
30 / -30 - -30,29
-10 - -14 & 9,0.222222
17 * -21 + 40,-317
36 + -5 / 15,35.666667
-25 * 3 * 44,-3300
-4 * 31 + 24,-100
-6 & -37 * 13,0.006237
16 % 48 % -40,-24
37 - -3 - 25,15
-8 - -21 % -10,-7
-18 & 30 / -6,1.800000
-2 + -22 & 39,-0.307692
36 / 41 % -21,-20.121951
23 / -23 * -38,38
49 & -22 % -11,inf
33 * -26 - 6,-864
16 % 47 - -13,29
4 & 43 % -4,-2
-32 - -21 % 20,-51
22 % -40 * 32,-576
36 / 18 + 8,10
-33 & 42 % -39,0.458333
19 % -10 + -20,-21
23 - 8 & -21,-0.357143
-34 & 2 % 36,-8.500000
-47 + -32 % 32,-47
38 % -44 / 10,-0.600000
-10 / -41 + 36,36.243902
-45 - 43 & 32,-1.375000
-23 % 5 * 20,40
14 + -16 & 5,-0.200000
-44 + 16 / 17,-43.058824
-17 & -15 + -48,0.134921
-11 / 32 * -11,3.781250
22 + 44 % -14,10
-15 + 42 - 36,-9
-37 / -24 / -20,-0.077083
13 * 33 % 16,13
-41 % -2 + 25,24
29 % 38 * 48,1392
8 - -28 * 24,680
49 + -24 / 0,-inf
31 - -3 * -38,-83
12 / 12 % -35,-34
18 & 42 + -42,inf
-9 % 29 / -46,-0.434783
48 * -43 - -11,-2053
40 * 36 % 23,14
24 + -19 - -44,49
-5 + -3 + 15,7
22 & -45 % -47,-0.244444
24 % -37 / 0,-inf
-40 / 42 / -20,0.047619
1 & 14 / 45,1.607143
28 % -47 & 20,-0.475000
-9 - 28 * 45,-1269
6 % -46 % -22,-18
-37 / -46 - -4,4.804348
-9 & -33 - -11,0.204545
-2 * 47 / 7,-13.428571
8 / -18 & 4,-0.055556
-38 - 14 & -8,3.250000
-17 % -27 / 23,-0.739130
-14 & -20 - -2,0.388889
34 - 2 - -39,71
30 / -43 * -33,23.023256
-11 + -29 - 36,-76
-30 * 37 & 29,-19.137931
-27 % -9 / 6,0
-42 * -43 / 29,62.275862
-8 - 42 * 34,-1436
34 % -31 + 0,-28
13 & -43 * 35,-0.004319
-32 - 36 & 17,-2
-39 + 1 * 15,-24
26 / 11 % -32,-29.636364
-3 - -40 * 3,117
28 / -16 - 48,-49.750000
-2 * 0 & -17,0
3 & 5 - -46,0.029412
-10 + 22 & 40,0.150000
19 - 23 * 41,-924
-3 % 32 * -45,-1305
-38 % 22 + 25,31
13 * 20 + -21,239
-12 + 36 * -13,-480
-16 & 38 % 25,-0.615385
45 / -15 / 39,-0.076923
42 * -16 * 18,-12096
-34 * -43 / -43,-34
-46 + -1 * 8,-54
-49 / 25 + 38,36.040000
-5 & 41 / 22,-1.341463
39 - -36 - 30,45
-30 - -41 & -19,-0.289474
4 % 45 + 1,5
-8 + 31 + -40,-17
49 & 13 + -27,-1.750000
-30 - -1 / 42,-29.976190
-37 % 23 + -42,-33
-34 & -22 + -26,0.354167
32 % -20 / 4,-2
-40 & 39 % 8,-2.857143
48 / -47 - 2,-3.021277
-26 & -37 / 31,10.891892
-48 % -7 & -4,0.750000
16 * 42 * 18,12096
14 / 32 * 43,18.812500
-1 % -30 + 37,36
8 % 42 * -27,-216
-13 & 38 * -2,0.085526
8 * 7 / 4,14
-44 * 39 % 17,1
-16 % -44 % 17,1
-46 * -7 & -30,-5.366667
-12 % -28 - -9,-3
4 + 9 + -44,-31
-26 % 3 - 44,-43
-39 % -44 * 13,-507
-46 * -28 - -3,1291
34 / -36 % -1,-0.944444
-33 / -33 / -39,-0.025641
-44 + -23 + -9,-76
-10 / 13 & -3,0.128205
-43 * -11 - 19,454
-40 + 5 / 28,-39.821429
36 + 1 / 48,36.020833
-12 & 16 + 19,-0.171429
-5 & -43 & -5,-0.005814
-9 - 46 / -44,-7.954545
17 * -22 & -16,11.687500
0 * -23 * 47,0
34 - -34 % 31,6
-34 & 44 - -8,-0.326923
38 & -39 - -44,3.800000
5 + -33 - 13,-41
19 + 8 / 17,19.470588
27 / 42 % -36,-35.357143
43 & -1 + 4,7.166667
10 - 25 & 43,-0.174419
6 & -8 + 0,-0.375000
-16 / -1 + -8,8
-13 % 12 / -19,-0.578947
1 + 29 / -1,-28
-33 - 17 / 47,-33.361702
-22 + -40 + 9,-53
22 * 25 % -34,-28
-45 + 12 / -11,-46.090909
37 / 46 & 36,0.011171
-17 / 26 + 9,8.346154
16 / -15 / -5,0.213333
43 / -8 % -36,-5.375000
9 * 44 * -9,-3564
15 & -32 / -14,3.281250
-41 * -45 * 40,73800
-41 % 3 + 48,49
-4 - 41 / -14,-1.071429
-10 % -47 % 39,29
19 & -49 + -49,-0.096939
-18 + -33 + -26,-77
26 * 34 - 20,864
-1 & -41 * -25,-0.000488
-38 * 43 % -38,0
31 / 16 & -42,-0.023065
1 - -19 - -48,68
-35 - 12 & -31,0.758065
-45 & -4 / -23,-129.375000
36 & 34 + -25,2
33 * 49 / 31,52.161290
2 + -21 * -29,611
-9 & 49 + 15,-0.070312
-41 + -43 & -42,1
49 % 26 / 14,1.642857
-30 + 41 + -41,-30
16 & -8 & 1,-0.500000
-16 - 33 & -1,24.500000
-13 & -39 - 15,0.120370
-34 % 41 % -29,-22
25 / -19 / -45,0.029240
8 - -35 / 38,8.921053
28 / -17 * -48,79.058824
2 * -19 % -4,-2
1 / -4 + -39,-39.250000
41 * -3 % 30,27
24 + -31 % 32,25
13 / -3 - 20,-24.333333
-13 * -35 - -46,501
36 - -41 & -12,-3.208333
-18 % 49 + 46,77
-33 + -40 & 40,-0.912500
-7 - -24 + -35,-18
-26 / 40 & -25,0.013000
-9 * 19 * -44,7524
-8 & -19 * 13,0.016194
-44 & 5 % -1,-inf
16 & 32 + -13,0.421053
-28 - 1 + -49,-78
-26 / 12 - 11,-13.166667
-18 - 7 - 19,-44
13 / 25 - 17,-16.480000
11 / 17 + 8,8.647059
37 - 23 / 27,36.148148
-31 & -26 - 27,0.292453
-12 + 3 / -10,-12.300000
40 / -18 / 2,-1.111111
-36 - 33 / -32,-34.968750
27 / -39 * -49,33.923077
28 - 9 & 22,0.431818
8 / -13 + 46,45.384615
33 % -36 & 40,-0.037500
-17 + -36 * -2,55
16 / 37 + 20,20.432432
-47 + 12 / 13,-46.076923
-46 + 35 - -23,12
-33 + -9 - -45,3
9 / -5 & 0,-inf
-28 / -15 + -48,-46.133333
30 % 24 & -41,-0.073171
-1 - 31 * 32,-993
12 + 39 - -48,99
35 & 43 * 24,0.016957
-12 + 39 - 36,-9
-7 + 5 * 29,138
8 / -9 % -6,-0.888889
15 - -1 / -9,14.888889
-10 * -40 % -1,0
49 % -49 * 29,0
9 + -40 * 45,-1791
15 / -34 % -36,-0.441176
15 & 16 - -28,0.170455
-9 / -38 % -1,-0.763158
-25 * -13 % 30,25
-49 % -2 / -20,0.050000
45 + 47 - 11,81
-14 * -45 / 0,inf
-44 & -39 / -11,-6.205128
29 - -20 & 13,1.884615
11 / -33 - -12,11.666667
36 + -45 + 0,-9
2 % 16 - 42,-40
21 & -43 * -49,0.004983
-9 - 47 * 18,-855
27 % -44 * -25,425
27 - 31 - 3,-7
17 / 37 / -42,-0.010940
44 * 0 & -20,0
31 % 38 * 42,1302
-8 / -43 / 33,0.005638
21 & -22 - -12,-1.050000
33 - 5 * 23,-82
46 % -40 & -6,2.833333
-30 / 40 + 14,13.250000
-34 / -23 + 20,21.478261
4 - 26 & 45,-0.244444
27 / -16 % -12,-1.687500
-45 / -30 * -7,-10.500000
28 / 25 % 4,1.120000
3 % -3 % 9,0
-30 % 4 * -32,-64
44 * -3 & 25,-2.640000
7 * 23 * 0,0
-25 / 4 + -4,-10.250000
36 / 0 / 48,inf
-20 / -13 + -43,-41.461538
33 + -16 & 15,0.566667
-5 % 8 & -7,-0.214286
-29 % 36 * -2,-14
5 / -1 % -19,-5
-14 / -49 & 13,0.010989
43 + -13 - 33,-3
16 + 16 + -7,25
34 / 47 + 0,0.723404
17 - -43 / 12,20.583333
10 % 25 / 33,0.303030
37 * 21 % 49,42
26 / 16 - -16,17.625000
11 / -14 & -44,0.008929
-8 / -46 & 33,0.002635
31 / 27 - -17,18.148148
32 % 43 * 13,416
46 + -42 + 0,4
-37 + 1 & 49,-0.367347
8 / -46 * 47,-8.173913
43 + 28 / -34,42.176471
-6 - 16 - 6,-28
-20 + -38 - 35,-93
-30 * -30 + 27,927
30 / -9 & 21,-0.079365
13 + 34 % -48,-1
-22 * 35 / 3,-256.666667
48 + -15 % -3,48
-28 * -5 * -16,-2240
-49 % -22 - -13,8
42 + -28 % -35,14
15 + 35 & 15,1.666667
31 - 5 * 35,-144
48 * 3 - -25,169
7 - -26 - -5,38
-43 & 15 % 27,-1.433333
-41 - -30 / 46,-40.347826
-45 / 16 & 24,-0.058594
-27 & -47 & 43,0.003340
26 % 47 & -29,-0.448276
3 + -3 / 16,2.812500
-12 * -46 - -8,560
25 - -14 - 7,32
-14 + 44 % 31,-1
39 - 2 - -2,39
-14 * -19 / 12,22.166667
48 + -31 + 9,26
6 - 16 & 38,-0.131579
-36 * -44 / 0,inf
-26 & 4 - 28,0.541667
-2 + 38 % -39,-3
44 % -19 & -5,1.300000
0 % -18 + -11,-11
-11 % 3 + -8,-7
14 + -42 / 19,11.789474
-6 / 0 * 33,-inf
0 / 13 * -23,0
-29 * 4 * 0,0
15 / 0 * -36,-inf
33 - 38 / -14,35.714286
49 - -49 - 26,72
21 * 25 % -46,-27
4 % 26 - -40,44
-27 % 32 % 14,5
27 / -45 % -17,-0.600000
-35 - 29 - -17,-47
29 + 28 * 31,897
-46 / -39 % 7,1.179487
-9 & 27 + -44,0.264706
40 / 7 * 41,234.285714
-20 & -16 & 13,0.024038
-15 + -32 * -46,1457
-16 / 30 & -9,0.029630
11 / 30 % -33,-32.633333
-16 - 13 % 19,-29
-7 & 5 & 25,-0.014000
-32 % 1 + 6,6
-35 * 0 * 25,0
-47 % 48 % -38,-37
-39 & 8 + 7,-1.300000
-38 - -35 - -41,38
26 + -13 - 44,-31
-30 + -42 - -30,-42
48 + -24 % -27,24
-12 % -23 * 22,-264
40 % 49 / -28,-1.428571
